coord_x,coord_y,class,filename
3143,3733,pup,0.jpg
1953,3730,adult_female,0.jpg
2882,3728,adult_female,0.jpg
3486,3726,pup,0.jpg
2353,3726,adult_male,0.jpg
3443,3725,adult_female,0.jpg
2694,3711,pup,0.jpg
2673,3693,adult_female,0.jpg
1981,3691,pup,0.jpg
2537,3658,pup,0.jpg
2598,3648,pup,0.jpg
3346,3642,adult_female,0.jpg
2620,3636,adult_female,0.jpg
2510,3635,adult_female,0.jpg
3395,3626,adult_female,0.jpg
2657,3625,pup,0.jpg
3357,3621,pup,0.jpg
3478,3615,pup,0.jpg
1941,3601,pup,0.jpg
3310,3596,adult_female,0.jpg
3493,3584,adult_female,0.jpg
3342,3582,pup,0.jpg
2143,3582,pup,0.jpg
2125,3568,adult_female,0.jpg
2014,3552,adult_female,0.jpg
3303,3543,adult_female,0.jpg
3638,3539,adult_male,0.jpg
1471,3535,pup,0.jpg
1465,3524,adult_female,0.jpg
3295,3515,juvenile,0.jpg
1588,3505,pup,0.jpg
3935,3491,adult_female,0.jpg
1009,3489,juvenile,0.jpg
4720,3476,adult_male,0.jpg
1578,3474,adult_female,0.jpg
3941,3470,juvenile,0.jpg
1008,3459,adult_female,0.jpg
1834,3458,adult_female,0.jpg
1721,3451,adult_female,0.jpg
4106,3450,adult_male,0.jpg
1062,3449,adult_female,0.jpg
3556,3445,adult_female,0.jpg
3506,3435,adult_male,0.jpg
2911,3434,adult_male,0.jpg
3393,3426,adult_female,0.jpg
1013,3414,juvenile,0.jpg
952,3414,juvenile,0.jpg
2045,3412,adult_female,0.jpg
3457,3405,adult_female,0.jpg
1117,3388,pup,0.jpg
3020,3381,adult_female,0.jpg
1915,3378,adult_female,0.jpg
2939,3377,adult_female,0.jpg
2620,3376,adult_female,0.jpg
1930,3376,pup,0.jpg
2645,3374,pup,0.jpg
3924,3368,pup,0.jpg
3274,3368,adult_female,0.jpg
3684,3352,pup,0.jpg
3933,3347,adult_female,0.jpg
3417,3347,adult_female,0.jpg
867,3342,adult_male,0.jpg
1481,3339,adult_female,0.jpg
3689,3332,adult_female,0.jpg
967,3327,juvenile,0.jpg
3481,3326,adult_female,0.jpg
2147,3325,adult_female,0.jpg
3306,3307,pup,0.jpg
3093,3295,adult_female,0.jpg
4558,3291,adult_female,0.jpg
910,3284,juvenile,0.jpg
3327,3273,adult_female,0.jpg
2093,3272,adult_female,0.jpg
4565,3266,adult_female,0.jpg
1758,3262,adult_female,0.jpg
2274,3258,adult_male,0.jpg
924,3248,adult_female,0.jpg
2204,3238,adult_female,0.jpg
1057,3238,pup,0.jpg
2308,3237,adult_female,0.jpg
2712,3236,pup,0.jpg
1877,3233,adult_female,0.jpg
2195,3217,pup,0.jpg
4345,3212,adult_female,0.jpg
1119,3211,adult_female,0.jpg
3822,3210,adult_male,0.jpg
1917,3210,adult_male,0.jpg
1040,3205,adult_female,0.jpg
1089,3203,pup,0.jpg
3592,3200,adult_female,0.jpg
2939,3200,adult_female,0.jpg
2285,3196,adult_female,0.jpg
3569,3188,pup,0.jpg
